response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,fold_change,se_fold_change,log_2_fold_change,significant,gene,control_detect_frac,control_mean_cpm,passes_expression_filter,expected_ko_direction,direction_matches_expectation
Zfp91,Zfp91,40,2262,True,0.54,0.93600171421054,0.0667757114329356,-0.0954169228983622,False,Zfp91,0.9787324542747701,4.619009568668629,True,negative,True
Smad4,Smad4,66,2128,True,0.544,1.040884802991,0.0682381804086784,0.0578104112407862,False,Smad4,0.9179072735006318,2.239882512976304,True,negative,False
Usp42,Usp42,42,915,True,0.544,1.09411592073621,0.140989008156467,0.129765598652924,False,Usp42,0.39982985963419565,0.3469078218058743,True,negative,False
Pfdn4,Pfdn4,65,1896,True,0.548,0.958326328148858,0.0841844695373716,-0.0614110904538902,False,Pfdn4,0.8188005104210919,1.318982917252367,True,negative,True
Zdhhc3,Zdhhc3,68,1963,True,0.548,0.949643086961539,0.0743485289509262,-0.07454270083474,False,Zdhhc3,0.8477243726073954,1.5809729006942725,True,negative,True
Lats1,Lats1,36,1012,True,0.552,1.07075310964436,0.131024209724839,0.098625867060364,False,Lats1,0.4410888983411286,0.3795857504727045,True,negative,False
Lamp2,Lamp2,72,2256,True,0.556,1.04764084693431,0.0633825309213734,0.0671442157754972,False,Lamp2,0.9757549978732388,5.391813506217547,True,negative,False
Ncapg2,Ncapg2,37,1117,True,0.556,1.08606634803315,0.1530450118835,0.119112240393258,False,Ncapg2,0.48660144619310614,0.6578912398006185,True,negative,False
Slc25a39,Slc25a39,102,2224,True,0.556,0.978082997986117,0.0484874547096808,-0.0319712005663355,False,Slc25a39,0.9629944704381049,3.4071037683938514,True,negative,True
Srp19,Srp19,52,2085,True,0.556,0.955341207764769,0.0893712708690012,-0.0659119996105992,False,Srp19,0.9021692896639667,1.970401813175611,True,negative,True
Tdp2,Tdp2,43,883,True,0.556,0.940548662179477,0.134314783546237,-0.0884255069402194,False,Tdp2,0.3866439812845573,0.32529320151785085,True,negative,True
Gosr1,Gosr1,105,1641,True,0.564,1.03768796876119,0.0718954082339385,0.0533726926397529,False,Gosr1,0.7090599744789404,0.8980872810429573,True,negative,False
Gtf2a1,Gtf2a1,32,903,True,0.564,1.08556520535456,0.171956959802366,0.118446385203515,False,Gtf2a1,0.3925988940876198,0.33680654505872576,True,negative,False
Ewsr1,Ewsr1,10,142,True,0.568,1.2281113556225,0.35912577636463,0.29644137904749,False,Ewsr1,0.06252658443215633,0.04009440372285006,True,negative,False
Gnptab,Gnptab,59,1218,True,0.572,1.05794665856462,0.111160575443265,0.0812668889223584,False,Gnptab,0.528711186729048,0.534113095419928,True,negative,False
